learning_rate,gamma,episodes,avg_reward
0.001,0.99,3000,169.99999999999952
0.0005,0.98,1000,114.80000000000015
0.001,0.98,3000,169.99999999999952
0.001,0.98,1000,128.0999999999999
0.001,0.99,2000,170.29999999999853
0.0005,0.98,2000,169.69999999999953
0.0005,0.99,2000,140.59999999999985
0.0005,0.99,1000,28.000000000000103
0.001,0.98,2000,169.69999999999953
0.0005,0.98,3000,130.50000000000006
